T,L,Lg,Lt,Ls,Lb,S,Sg,St,Ss,Sb,M,Mg,Mt,Ms,Mb,R,Rg,Rt,Rs,Rb,A,Ag,At,As,Ab,E,Eg,Et,Es,Eb,V,Vg,Vt,Vs,Vb,J,Jg,Jt,Js,Jb,U,Ug,Ut,Us,Ub,K,Kg,Kt,Ks,Kb
20180514, 51.186418496225194, 4, 2, 4, 5, 22.13718340790181, 5, 4,-7,-7, 30.018906120398604, 5, 1, 11,-7, 105.77021599751737, 2,-7,-6, 4, 275.4877992880726,-7, 1, 3, 12, 8.134000510171877, 5, 12,-6, 3, 60.4174429042965, 3, 5, 3, 4,-203.60417374248925, 4,-6,-7, 11,-254.53696030927787,-6, 4, 4,-6, 285.77021599751737,-7, 2,-7,-7
20180517, 53.630854742488154, 4, 5, 5,-7, 65.93825738573075, 3, 5, 2,-6, 32.9110402513301, 4, 1,-6, 11, 105.61135427851656, 2,-7,-6, 3, 276.66093577979257,-7, 1, 3,-6, 13.044900452172088, 5, 12, 3,-7, 64.01512574576131, 3, 5, 4,-6,-203.2283236347215, 4,-6,-7, 5,-254.40725902179247,-6, 4, 4, 11, 285.6113542785165,-7, 2,-6, 11
20180521, 56.951794690053966, 4, 5,-6, 12, 123.48293636409548, 1, 12, 1, 3, 36.761709853540566, 4, 1, 3,-7, 105.39953865318861, 2,-7,-6,-7, 278.13935796784233,-7, 1, 4, 4, 20.085400706535303, 5, 4, 11, 5, 68.79906181289553, 3, 11,-6,-6,-202.7381323280216, 4,-6,-7, 4,-254.2163811621283,-6, 4, 4, 11, 285.3995386531886,-7, 2,-6, 5
20180524, 59.49524275426049, 4, 5,-7, 11, 164.23865819386867, 3, 2,-6,-7, 39.645817764218336, 4, 1, 4, 3, 105.24067693419748, 2,-7,-6,-7, 279.1783918332224,-7, 1, 4,-6, 25.73305736915208, 5, 4, 3,-7, 72.3768453550513, 3, 11,-7,-6,-202.38160980742933, 4,-6,-7, 3,-254.06056386198557,-6, 4, 4, 5, 285.24067693419744,-7, 2,-6, 2
20180528, 62.9674220092502, 3, 5, 4, 4, 215.5844756935772, 5,-7, 3, 3, 43.48646727171277, 4, 2, 11, 4, 105.02886130888216, 2,-7,-6,-6, 280.4621529472471,-7, 2, 2,-6, 33.73250150961138, 4, 1,-7, 12, 77.13295460977723, 3, 11, 4, 3,-201.92514347304135, 4,-6,-7,-7,-253.8372121807964,-6, 4, 4, 2, 285.02886130888214,-7, 2,-6, 4
20180531, 65.64028958708148, 3, 5, 2, 2, 252.1029398368309,-6, 12, 3, 4, 46.36359245028321, 4, 2,-7, 12, 104.86999958990042, 2,-7, 11, 5, 281.342558164336,-7, 2, 5,-6, 40.041750410426424, 4, 2, 2, 2, 80.68879855751818, 3,-6,-6, 3,-201.5995726561178, 4,-6,-6, 11,-253.65895027962335,-6, 4, 4, 4, 284.86999958990043,-7, 2,-6, 4
20180604, 69.3088967167709, 3, 11,-6, 3, 299.4313338041161,-7, 5,-7, 11, 50.19567000754992, 4, 2, 12,-6, 104.65818396459832, 2,-7, 11, 2, 282.39700143456406,-7, 2, 11,-6, 48.738774857648316, 4, 2, 3, 5, 85.41406921961497, 3,-6, 3,-6,-201.1913891319033, 4,-6,-6, 1,-253.4084286538929,-6, 4, 4, 4, 284.6581839645983,-7, 2,-6, 3
20180607, 72.14889059684629, 3, 11,-7, 11, 336.1507077356127,-6,-7, 3, 1, 53.06693775757484, 4, 2, 1,-7, 104.49932224562627, 2,-7, 11, 4, 283.0915329511915,-7, 2, 11, 12, 55.34096930730303, 4, 5, 11, 12, 88.94547494531966, 3,-6, 1, 11,-200.90688578196753, 4,-6,-6, 4,-253.2119887548276,-6, 12, 3,-7, 284.4993222456263,-7, 2,-6, 3
20180611, 76.06975998366372, 3, 11, 4, 11, 30.44233944654521, 4, 1, 11, 12, 56.89199098024092, 4, 5,-6, 12, 104.28750662033713, 2,-7, 11, 4, 283.8791736306111,-7, 2, 11, 5, 64.02231144290927, 3, 5, 4,-6, 93.6362223038779, 2,-7,-7,-7,-200.55929047695398, 4,-6,-6, 3,-252.94033918552492,-6, 12, 3,-6, 284.2875066203371,-7, 2,-6,-7
20180614, 79.1232055359778, 3, 11, 2, 4, 74.9988341109941, 3, 11, 12,-7, 59.75859396662221, 4, 5,-7,-6, 104.12864490137508, 2,-7, 11, 12, 284.3593718253662,-7, 2,-6,-7, 70.30528594080295, 3, 11,-6, 11, 97.14013652065393, 2,-7, 3,-7,-200.32414157439183, 4,-6,-6,-7,-252.73049235991337,-6, 12, 3, 11, 284.1286449013751,-7, 2,-6,-7
20180618, 83.36431375612892, 3,-6,-7, 11, 133.6936400295852, 1, 4, 4, 4, 63.578250600464294, 3, 5, 4, 11, 103.91682927609888, 2,-7, 11, 3, 284.84288923793355,-7, 2,-6, 4, 78.24381654377218, 3, 11, 2, 5, 101.79186292582891, 2,-7, 2, 3,-200.04687706472623, 4,-6,-6,-6,-252.44435350942803,-6, 12, 3, 5, 283.9168292760989,-7, 2,-6,-6
20180621, 86.68687457235347, 3,-6, 4, 4, 174.4061886475546, 3, 5, 11, 11, 66.44143431024278, 3, 5, 2, 4, 103.75796755714617, 2,-7, 11,-7, 285.0822360614248,-7, 2,-6, 1, 83.82132133822046, 3,-6,-7,-6, 105.26456171011156, 2,-7,-6,-7,-199.86739484936953, 4, 11, 5, 4,-252.2262548017992,-6, 12, 3, 1, 283.7579675571462,-7, 2, 11, 2
20180625, 91.32831152654457, 2,-6, 5, 2, 224.78637847457537, 5,-7, 11, 5, 70.25738282139677, 3, 11,-6, 11, 103.54615193188256, 2,-7, 11,-7, 285.23015144656136,-7, 2,-6, 2, 90.72827719584944, 2,-6, 5,-6, 109.87178316961432, 2, 3, 4, 2,-199.66755640035652, 4, 11, 5, 3,-251.93268413249933,-6, 12, 3, 4, 283.54615193188255,-7, 2, 11, 1
20180628, 94.9837833647295, 2,-7,-7, 11, 260.77774512386674,-6, 4,-6, 3, 73.11843099855287, 3, 11, 3, 4, 103.38729021293994, 2,-7, 11,-6,-285.20957783434505,-7, 2,-6, 2, 95.50409288528812, 2,-7, 3, 3, 113.30872440925077, 2, 3, 2, 1,-199.54809121466806, 4, 11,-5,-7,-251.7117279872694,-6, 12, 3, 3, 283.38729021293994,-7, 2, 11, 4
20180702, 100.11366533283493, 2,-7, 4, 3, 308.0698181466228,-7, 11, 11, 4, 76.93240115319631, 3, 11, 4,-7, 103.17547458768925, 2,-7, 11, 11,-285.0053760234141,-7, 2,-6, 4, 101.32146271687174, 2,-7, 2, 11, 117.86474448215387, 2, 3,-6, 11,-199.43023336632317, 4, 11,-5,-6,-251.41799709464644,-6, 12,-7,-6, 283.1754745876893,-7, 2, 11, 4
20180705, 104.16824574708338, 2,-7, 11, 12, 344.8254343269945,-6,-7, 11,-5, 79.79262123758637, 3, 11,-5, 4, 103.01661286875662, 2,-7, 11, 11,-284.7213873421469,-7, 2,-6, 12, 105.25655328399985, 2,-7,-6,-7, 121.26037135598821, 1, 12, 4, 2,-199.37331117263352, 4, 11,-5, 11,-251.19965724315477,-6, 12,-7,-6, 283.0166128687566,-7, 2, 11, 3
20180709, 109.8700742608236, 2, 3, 4, 2, 38.83062386735149, 4, 1, 4, 11, 83.60636469534573, 3,-6,-7, 11, 102.80479724351886, 2,-7,-5, 1,-284.17569679566816,-7, 2,-6,-7, 109.89239201058882, 2, 3, 4, 2, 125.7569746346702, 1, 12, 11, 11,-199.33969303335823, 4, 11,-5, 11,-250.913033238693,-6, 12,-7, 11, 282.80479724351886,-7, 2, 11, 3
20180712, 114.37804560422131, 2, 3, 11, 11, 83.46137535343415, 3, 6,-7, 11, 86.46707327374213, 3, 6, 12, 3, 102.64593552459532, 2,-7,-5, 12,-283.6499981993549,-7, 2, 11, 2, 112.86832480114401, 2, 3, 2,-7, 129.10444542821796, 1, 12, 6, 11, 199.3462356664706, 4, 11,-5, 11,-250.70269751952605, 6, 12,-7, 2, 282.6459355245953,-7, 2, 11,-7
20180716, 120.7037517110488, 1, 12, 12, 3, 143.06002518297936, 1, 4,-7, 1, 90.28234419519333, 2, 6, 2, 12, 102.43411989937081, 2,-7,-5,-7,-282.8128485830885,-7, 2, 11, 3, 116.08048100427354, 2, 3, 11,-5, 133.5314715171713, 1, 4, 4, 4, 199.39714864847778, 4, 11,-5, 6,-250.43022508035355, 6, 12,-7, 4, 282.43411989937084,-7, 2, 11, 6
20180719, 125.68090025573116, 1, 12, 11, 11, 184.084432481185, 4,-5, 4, 6, 93.1448524592552, 2, 6, 11, 2, 102.2752581804569, 2,-7,-5, 6,-282.0999554466069,-7, 2, 11, 11, 117.84602876276247, 2, 3, 6, 11, 136.82228103793614, 1, 4, 2,-7, 199.4667361597148, 4, 11,-5, 6,-250.23303631029148, 6, 12,-7, 4, 282.2752581804569,-7, 2, 11, 6
20180723, 132.6078795672519, 1, 12, 3, 11, 233.98019891980852,-5, 3,-5, 4, 96.96338811539988, 2,-7, 3, 6, 102.06344255524499, 2,-7, 2, 1,-281.0668203875618,-7, 2, 2, 1, 119.21246151399035, 2, 3,-7, 2, 141.16702404872063, 1, 4, 6, 4, 199.60086408003949, 4, 11,-5,-7,-249.98133492293002, 6, 12,-7, 12, 282.063442555245,-7, 2, 11, 11
20180726, 137.99610550538634, 1, 4,-5, 4, 269.61511871109394, 6, 1, 11, 6, 99.82898731538657, 2,-7, 4,-7, 101.90458083634152, 2,-7, 2, 4,-280.25415023148645,-7, 2, 2, 11,-119.41167986759848, 2,-3,-7, 11, 144.39046769681653, 1, 4,-3, 4, 199.73200566538924, 4, 11,-5, 12,-249.802048160156, 6, 12,-7,-3, 281.9045808363415,-7, 2, 11, 11
20180730, 145.38296075062038, 1, 4,-3, 6, 317.1034640106875,-7, 11, 4,-3, 103.65248868546682, 2,-7, 11,-7, 101.69276521114249, 2,-7, 2,-3,-279.1586174911217,-7, 1, 4, 6,-118.50742796728785, 2,-3,-7,-3, 148.63682354766047, 1, 1,-5, 6, 199.94677876591243, 4, 11,-5, 2,-249.577137162104, 6, 12,-7,-7, 281.6927652111425,-7, 2,-5, 4
20180802, 151.0264871482424,-3, 1, 11, 2, 354.13457231602536, 6,-3, 11, 11, 106.52243557233692, 2,-7, 6, 11, 101.53390349224836, 2,-7, 2,-7,-278.3550076618685,-7, 1, 4, 2,-116.99571378198789, 2,-3, 6, 4, 151.77923461879854,-3, 1, 6,-3, 200.1371683378928, 4, 6, 6, 6,-249.42000166320807, 6, 12,-7,-7, 281.5339034922483,-7, 2,-5,-3
20180806, 158.6059560121005,-3, 1, 4, 11, 47.786714865234615, 4, 2,-3,-3, 110.35254792605753, 2,-3, 4, 11, 101.32208786706231, 2,-7, 2, 11,-277.3462508800606,-7, 1, 12, 11,-114.16080721836553, 2,-3, 11, 11, 155.90648555788604,-3, 1,-3, 2, 200.4290857513891, 4, 6, 6,-7,-249.2271623107272, 6, 12, 6, 11, 281.3220878670623,-7, 2,-5, 6
20180809, 164.2713337616177,-3, 2, 6,-7, 91.86347493628529, 2, 6, 11, 6, 113.22805018563453, 2,-3, 2, 4, 101.16322614817754, 2,-7, 2, 11,-276.66113861437356,-7, 1,-3, 6,-111.8001396189431, 2,-3, 1, 6, 158.9501467979017,-3, 1, 4, 6, 200.67582762359723, 4, 6, 6,-3,-249.09583357624484, 6, 12, 6, 11, 281.16322614817756,-7, 2,-5, 11
20180813, 171.71378747306116,-3, 2, 4, 6, 151.6487193700922,-3, 1, 6,-7, 117.06634366683477, 2,-3, 6, 4, 100.95141052300477, 2,-7, 1, 4,-275.8742165146466,-7, 1,-3, 1,-109.0682831551494, 2,-3, 12, 6, 162.93122556132252,-3, 2, 11,-3, 201.04073441914977, 4, 6, 6, 4,-248.93951317793665, 6, 12, 6, 2, 280.95141052300477,-7, 2, 2, 4
20180816, 177.16028553250987,-3,-5, 6, 4, 193.05783931123716, 4, 11,-3, 4, 119.94854536972724, 2,-3,-7, 6, 100.79254880412998, 2,-7, 1,-3,-275.3964693302773,-7, 1,-3, 12,-107.81250890134672, 2,-3,-3, 11, 165.85281446141857,-3, 2,-7,-7, 201.34053234794712, 4, 6, 6, 2,-248.83699723612648, 6, 12, 6, 2, 280.79254880413,-7, 2, 2,-3
20180820, 184.18105853218327, 4,-5, 4,-7, 242.86055474345082, 6, 12, 4, 3, 123.79649563014152, 1, 12, 2,-5, 100.58073317897012, 2,-7, 1, 6,-274.9289696615501,-7, 1,-7, 6, 107.69019655472596, 2, 3, 3,-5, 169.65182650655998, 3, 2, 3,-7, 201.77384624213394, 4, 6, 6, 11,-248.72075611314676, 6, 12, 6, 4, 280.58073317897015,-7, 2, 2,-7
20180823, 189.23635720032038, 4, 11, 6, 3, 278.3468556549043,-7, 1, 4, 2, 126.6864627484108, 1, 12, 11, 3, 100.42187146010474, 2,-7, 1, 2,-274.71463108136106,-7, 1,-7, 11, 108.91518440250945, 2, 3, 12, 11, 172.42020013684703, 3, 2, 4, 3, 202.12315468912973, 4, 6,-7, 3,-248.64938513385198, 6, 12, 6, 4, 280.42187146010474,-7, 2, 2, 6
20180827, 195.67094598133764, 4, 11, 4, 1, 326.2933071804677,-7, 6, 12, 6, 130.54543172140143, 1, 12,-7, 1, 100.21005583495777, 2,-7, 4, 12, 274.6183033636761,-7, 1,-7, 11, 112.29128519712235, 2, 3, 2, 2, 175.9889068843999, 3, 5, 11, 2, 202.62004358191814, 4, 6,-7, 4,-248.57588343567426, 6, 12, 6, 4, 280.21005583495776,-7, 2, 2, 11
20180830, 200.26086442081422, 4, 6, 6,-7, 3.9470690201758387, 5, 12, 2, 11, 133.44413779744832, 1, 4, 4, 4, 100.0511941161021, 2,-7, 4, 3, 274.6900111381245,-7, 1,-7, 11, 115.99537529651441, 2, 3, 11, 5, 178.5619782824248, 3, 5,-7, 12, 203.0151836222657, 4, 6,-7, 2,-248.53731930305835, 6, 12, 6, 4, 280.05119411610207,-7, 2, 2, 2
20180903, 206.06877091623275, 4, 6, 12, 5, 57.579377869648255, 4, 5, 6, 5, 137.31535475202435, 1, 4, 2, 1, 99.83937849096776, 2,-7, 4,-7, 274.97615004834466,-7, 1,-7, 6, 122.16031978167698, 1, 12, 4, 6, 181.8348936312168, 4, 5, 3,-7, 203.57069868521486, 4, 6,-7, 11,-248.5083379507357, 6, 12, 6, 4, 279.83937849096776,-7, 1, 4, 3
