T,L,Lg,Lt,Ls,Lb,S,Sg,St,Ss,Sb,M,Mg,Mt,Ms,Mb,R,Rg,Rt,Rs,Rb,A,Ag,At,As,Ab,E,Eg,Et,Es,Eb,V,Vg,Vt,Vs,Vb,J,Jg,Jt,Js,Jb,U,Ug,Ut,Us,Ub,K,Kg,Kt,Ks,Kb
20040212, 342.73457931170293,-6,-7, 5, 4, 206.13502111228644, 4,-6, 12, 11, 300.06223228248183,-7, 5, 3, 3, 21.576108930601137, 5, 4,-6, 5, 12.416674616877616, 5, 12, 3, 5, 285.593395028949,-7, 2,-6, 11, 341.57928236657733,-6,-7, 2,-7,-142.62118354338145, 1, 4,-7, 12,-72.94018731486196, 3, 11, 3, 4, 201.57610893060115, 4,-6,-6, 11
20040216, 345.72895016093184,-6,-7,-6, 12, 263.03001686593706,-6, 4,-7, 1, 304.103574156886,-7, 5, 4,-7, 21.3642932956548, 5, 4,-6, 1, 14.97242170778435, 5, 4, 4,-7, 292.0567039113275,-7, 2, 4,-7, 346.2516094654246,-6,-7,-6, 2,-142.1579403719197, 1, 4,-7,-7,-72.78534909327401, 3, 11, 3, 3, 201.3642932956548, 4,-6,-6, 2
20040219, 347.9730111071919,-6, 3, 3, 11, 305.5975737715651,-7, 5, 2, 2, 307.13025164543836,-7, 11, 11,-6, 21.205431569449935, 5, 4,-6, 4, 16.891478510809073, 5, 4, 2, 3, 297.05748737435727,-7, 5,-6, 4, 349.73091165377787,-6, 3, 4, 1,-141.7948540086903, 1, 4,-6, 11,-72.68725829265102, 3, 11, 3, 3, 201.20543156944993, 4,-6,-6, 1
20040223, 350.9622600875292,-6, 3, 4,-7, 358.3917801715361,-6, 3,-7, 3, 311.15969821115937,-7, 11,-7, 12, 20.993615934516527, 5, 4,-6, 4, 19.4525553108353, 5, 4, 11, 4, 303.9412405652638,-7, 5, 4,-6, 354.3335581251664,-6, 3, 11, 11,-141.29427311208374, 1, 4,-6, 1,-72.58129481371627, 3, 11, 3, 3, 200.99361593451653, 4,-6,-6, 4
20040226, 353.2017675495319,-6, 3, 2, 4, 34.720919609326636, 4, 1,-7, 11, 314.17696941178815,-7, 11, 3,-7, 20.834754208321023, 5, 4,-6, 3, 21.374703258945, 5, 4,-6, 2, 309.2735370870044,-7, 11,-6, 3, 357.7558584962163,-6, 3,-6, 11,-140.9096372477251, 1, 4,-6, 12,-72.52085432911753, 3, 11,-7,-6, 200.83475420832102, 4,-6,-6, 12
20040301, 355.61973202907177,-6, 3, 11, 4, 73.18643326751989, 3, 11, 3, 4, 317.433296517763,-7, 11, 4, 12, 20.663051159260277, 5, 4,-6, 3, 23.45314654479337, 5, 4,-7, 11, 315.20427455320316,-7, 11, 12, 3, 1.4236204359369127, 5, 12, 4, 2,-140.4882493341871, 1, 4,-6,-7,-72.47417909439486, 3, 11,-7,-6, 200.66305115926028, 4,-6,-6, 3
20040304, 357.85436362813533,-6, 3,-6, 11, 110.40521598498103, 2, 3, 4, 11, 320.44145949388565,-7,-6,-6,-7, 20.504189433073414, 5, 4,-6,-7, 25.37671837671774, 5, 4, 3,-6, 320.84222246855876,-7,-6,-6, 12, 4.785879224581613, 5, 12, 5, 5,-140.09586697806986, 1, 4, 11, 5,-72.4484245691308, 3, 11,-7,-6, 200.5041894330734, 4,-6,-6,-7
20040308, 0.8300691611142632, 5, 12, 4, 4, 164.11256507263374, 3, 2,-6,-6, 324.44519567580863, 7,-6, 3, 4, 20.292373798164522, 5, 4,-6,-6, 27.941910472175998, 5, 1, 2, 7, 328.5541261652982, 7,-6, 4, 3, 9.217923982020434, 5, 12,-6, 11,-139.57348508638222, 1, 4, 11, 4, 72.44030530824699, 3, 11, 7,-6, 200.29237379816453, 4,-6,-6, 7
20040311, 3.059052756827821, 5, 12, 1, 2, 206.32052162588448, 4,-6, 12,-6, 327.44249159509593, 7,-6, 4, 11, 20.1335120719873, 5, 4,-6,-6, 29.865845396440793, 5, 1, 11, 7, 334.43059748760044,-6, 7, 7, 4, 12.500214381493894, 5, 12, 3, 11,-139.1856021888316, 1, 4, 11, 3, 72.45390987855342, 3, 11, 7,-6, 200.1335120719873, 4,-6,-6,-6
20040315, 6.0275688944526316, 5, 12, 11,-6, 262.81585795001956,-6, 4, 7, 4, 331.431362153381,-6,-6, 11, 11, 19.921696437090997, 5, 4, 11, 2, 32.430776253628736, 4, 1,-6, 1, 342.23544702509525,-6, 7, 5, 11, 16.81514200403469, 5, 4, 2, 7,-138.67838277500158, 1, 4, 11, 7, 72.49822323274601, 3, 11, 7,-6, 199.921696437091, 4, 11, 5, 1
