T,L,S,M,R,A,E,V,J,U,Ph,il,age,dist,adia,sundist,sunadia
20180514,51.186418496225194,22.13718340790181,30.018906120398604,105.77021599751737,275.4877992880726,8.134000510171877,60.4174429042965,203.60417374248925,254.53696030927787,0.9605535271879894,0.015278888265190527,28.365711116511715,376540.02657347627,0.5289163011761173,151201169.678975,0.5274294640002988
20180517,53.630854742488154,65.93825738573075,32.9110402513301,105.61135427851656,276.66093577979257,13.044900452172088,64.01512574576131,203.2283236347215,254.40725902179247,0.07375236205003198,0.05273099697936373,2.1779506678779366,365615.9160834156,0.5447196069400925,151296425.97869,0.5270973941660225
20180521,56.951794690053966,123.48293636409548,36.761709853540566,105.39953865318861,278.13935796784233,20.085400706535303,68.79906181289553,202.7381323280216,254.2163811621283,0.22419107067018762,0.4192737500975431,6.620494293690123,365678.29465480015,0.5446266869298465,151416376.58752358,0.5266798326395237
20180524,59.49524275426049,164.23865819386867,39.645817764218336,105.24067693419748,279.1783918332224,25.73305736915208,72.3768453550513,202.38160980742933,254.06056386198557,0.3302288601519346,0.741506639480393,9.751852639412023,376341.4305155909,0.5291954112709613,151500757.19765836,0.5263864904381654
20180528,62.9674220092502,215.5844756935772,43.48646727171277,105.02886130888216,280.4621529472471,33.73250150961138,77.13295460977723,201.92514347304135,253.8372121807964,0.46298196328271946,0.9865361975759196,13.672129923960851,394644.37621701317,0.5046522137451765,151605425.64346126,0.526023072997055
20180531,65.64028958708148,252.1029398368309,46.36359245028321,104.86999958990042,281.342558164336,40.041750410426424,80.68879855751818,201.5995726561178,253.65895027962335,0.5570834763891375,0.9681829517589831,16.45100300167211,403714.64153295703,0.4933141818779982,151677797.50014856,0.525772085264634
20180604,69.3088967167709,299.4313338041161,50.19567000754992,104.65818396459832,282.39700143456406,48.738774857648316,85.41406921961497,201.1913891319033,253.4084286538929,0.67844070743902,0.7173117995236175,20.034753475149916,403456.72849318496,0.4936295370356281,151765783.59273592,0.5254672693154865
20180607,72.14889059684629,336.1507077356127,53.06693775757484,104.49932224562627,283.0915329511915,55.34096930730303,88.94547494531966,200.90688578196753,253.2119887548276,0.7713496090132038,0.43312919801332855,22.778408032247746,393772.782925595,0.5057692322468914,151825181.96917158,0.5252616914115933
20180611,76.06975998366372,30.44233944654521,56.89199098024092,104.28750662033713,283.8791736306111,64.02231144290927,93.6362223038779,200.55929047695398,252.94033918552492,0.9085725514552098,0.08025587951719032,26.830682302961936,374740.59788294294,0.5314560504656362,151895316.59423256,0.5250191623289854
20180614,79.1232055359778,74.9988341109941,59.75859396662221,104.12864490137508,284.3593718253662,70.30528594080295,97.14013652065393,200.32414157439183,252.73049235991337,0.023755847932948704,0.005559482345188715,0.7015241740525365,364730.30389330856,0.546042256357887,151940954.55665895,0.524861464196356
